NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
UGGT1	UGGT1	4.66388224588849	25.4144040347746	11.9461654712873	31.1624546321681	19.5854307647794	1.26994924996499	24.4820689094093	19.6593453905456	53.1618634887758	16.8933821230014
GYPC	GYPC	16.3235878606097	14.2021669606093	17.9192482069309	0	11.7512584588677	33.0186804990896	23.4619827048506	9.82967269527279	5.77846342269302	11.6506083606906
STAM	STAM	23.3194112294424	21.6769916767195	7.67967780297039	19.8306529477433	18.4662632925063	33.0186804990896	28.5624137276442	93.9279835326067	41.6049366433898	12.8156691967597
ABI1	ABI1	340.46340394986	200.325302391753	209.911193281191	252.132587478451	319.522313333973	106.675736997059	162.193706524837	345.130730189578	302.791483349114	35.5343555001063
YME1L1	YME1L1	107.269291655435	76.9906945759349	40.9582816158421	65.1578596854424	119.191335797086	76.1969549978992	54.0645688416122	135.431046023759	169.886824627175	29.709051319761
DNAJC1	DNAJC1	27.9832934753309	82.223071877212	55.4643396881195	79.3226117909734	45.8858663631975	36.8285282489846	18.361551682057	34.9499473609699	17.3353902680791	9.90301710658701
NIPSNAP3A	NIPSNAP3A	46.6388224588849	14.9496494322204	18.7725457405943	28.3295042110619	15.6683446118235	3.80984774989496	44.8837930005837	10.9218585503031	34.6707805361581	46.6024334427624
CDK9	CDK9	13.9916467376655	22.4244741483305	9.38627287029714	2.83295042110619	21.8237657093256	0	1.02008620455872	1.09218585503031	16.1796975835405	2.33012167213812
TXN	TXN	116.597056147212	136.789292304816	187.725457405943	127.482768949779	158.362197326645	240.020408243382	201.977068502627	101.573284517819	174.509595365329	301.750756541887
ODF2	ODF2	48.9707635818291	33.6367112224958	46.0780668178223	45.3272067376991	99.6059050323068	3.80984774989496	7.14060343191105	22.9359029556365	104.012341608474	9.32048668855248
ECPAS	ECPAS	90.9457037948255	62.7885276153255	81.0632656980208	56.6590084221238	66.0308808641135	25.3989849992997	23.4619827048506	51.3327351864246	35.8264732206967	51.8452072050732
C9orf78	C9orf78	48.9707635818291	60.5460802004925	86.183050900001	45.3272067376991	81.1396417398005	139.694417496149	191.77620645704	68.8077088669096	119.036346507476	204.46817673012
SMC2	SMC2	5.82985280736061	15.6971319038314	5.97308273564364	14.164752105531	13.9895934034139	45.7181729987395	40.8034481823488	28.3968322307881	18.4910829526177	60.5831634755911
TOR1A	TOR1A	6.99582336883273	1.49496494322204	5.97308273564364	2.83295042110619	11.7512584588677	5.07979699985995	11.2209482501459	9.82967269527279	11.556926845386	22.7186863033467
ST6GALNAC4	ST6GALNAC4	5.82985280736061	2.98992988644407	9.38627287029714	5.66590084221238	1.67875120840967	11.4295432496849	11.2209482501459	0	2.31138536907721	4.07771292624171
TMOD1	TMOD1	29.149264036803	17.9395793186644	22.1857358752478	8.49885126331857	16.2279283479601	0	13.2611206592634	7.64530098521217	5.77846342269302	3.49518250820718
STXBP1	STXBP1	11.6597056147212	0.747482471611018	0	5.66590084221238	13.4300096672773	1.26994924996499	1.02008620455872	10.9218585503031	11.556926845386	1.74759125410359
SLC2A8	SLC2A8	24.4853817909146	24.6669215631636	18.7725457405943	14.164752105531	26.8600193345546	2.53989849992997	0	0	8.08984879177023	6.99036501641436
CDK5RAP2	CDK5RAP2	150.410202429904	102.405098610709	93.8627287029714	164.311124424159	38.6112777934223	154.933808495728	118.329999728812	115.771700633213	98.2338781857814	46.0199030247279
STX17	STX17	15.1576172991376	12.7072020173873	5.11978520198026	14.164752105531	13.9895934034139	19.0492387494748	17.3414654774983	21.8437171006062	9.24554147630884	36.6994163361754
USP20	USP20	46.6388224588849	27.6568514496077	6.82638026930701	33.9954050532743	34.6941916404664	12.6994924996499	23.4619827048506	7.64530098521217	9.24554147630884	8.15542585248342
ATP6V1G1	ATP6V1G1	92.1116743562976	74.0007646894908	68.2638026930701	113.318016844248	81.699225475937	287.008530492087	190.756120252481	105.94202793794	157.17420509725	224.856741361329
TEX10	TEX10	0	9.71727213094323	3.41319013465351	0	16.2279283479601	27.9388834992297	21.4218102957331	14.198416115394	23.1138536907721	9.32048668855248
DPM2	DPM2	5.82985280736061	3.73741235805509	14.5060580722774	11.3318016844248	10.072507250458	11.4295432496849	10.2008620455872	6.55311513018186	1.1556926845386	8.73795627051795
HEMGN	HEMGN	69.9582336883273	153.98138915187	173.219399333665	110.485066423141	178.507211827561	393.684267489146	327.447671663349	344.038544334548	104.012341608474	65.2434068198674
PSMB7	PSMB7	18.6555289835539	20.1820267334975	49.4912569524758	11.3318016844248	29.0983542791009	90.166396747514	59.1649998644058	54.6092927515155	63.5630976496232	172.429003738221
RABEPK	RABEPK	0	0	11.0928679376239	0	6.71500483363866	5.07979699985995	14.2812068638221	4.36874342012124	6.93415610723163	8.73795627051795
GOLGA1	GOLGA1	12.8256761761933	0.747482471611018	0	0	7.27458856977522	11.4295432496849	34.6829309549965	0	9.24554147630884	13.3981996147942
XPA	XPA	1.16597056147212	11.2122370741653	19.6258432742577	2.83295042110619	7.83417230591177	43.1782744988095	65.2855170917581	14.198416115394	10.4012341608474	82.1367889428688
NCBP1	NCBP1	19.8214995450261	17.9395793186644	35.8384964138618	0	19.5854307647794	5.07979699985995	18.361551682057	53.5171068964852	18.4910829526177	15.7283212869323
ANP32B	ANP32B	188.887230958484	276.568514496077	370.331129609905	192.640628635221	242.859341483265	255.259799242962	417.215257664517	333.116685784245	130.593273352862	200.972994221913
RPL35	RPL35	81.6179393030485	142.769152077704	202.23151547822	22.6636033688495	179.626379299834	332.726703490826	291.744654503794	257.755861787153	287.767478450112	350.100781238753
ARPC5L	ARPC5L	5.82985280736061	13.4546844889983	6.82638026930701	5.66590084221238	13.4300096672773	6.34974624982493	6.12051722735232	3.27655756509093	2.31138536907721	17.4759125410359
DERL1	DERL1	15.1576172991376	2.98992988644407	6.82638026930701	2.83295042110619	5.59583736136555	15.2393909995798	1.02008620455872	0	21.9581610062335	18.0584429590704
PLAA	PLAA	8.16179393030485	0	17.0659506732675	2.83295042110619	6.71500483363866	12.6994924996499	31.6226723413203	1.09218585503031	8.08984879177023	7.57289543444889
IL11RA	IL11RA	0	6.72734224449916	7.67967780297039	0	1.67875120840967	0	4.08034481823488	13.1062302603637	6.93415610723163	4.66024334427624
UBAP2	UBAP2	27.9832934753309	214.527469352362	118.608357179209	82.1555622120795	116.393417116403	186.682539744853	180.555258206894	131.062302603637	93.6111074476269	73.3988326723508
RNF38	RNF38	16.3235878606097	26.9093689779966	6.82638026930701	31.1624546321681	29.6579380152374	11.4295432496849	5.1004310227936	42.5952483461821	17.3353902680791	6.40783459837983
TLN1	TLN1	11530.2828823978	12281.137008569	8218.96184424564	14255.4065190064	5092.21199884265	2908.18378241982	1437.30146222324	7030.40034883011	5495.31871498106	1353.80069151225
DCTN3	DCTN3	33.8131462826915	14.2021669606093	36.6917939475252	39.6613058954867	21.2641819731891	102.865889247164	39.7833619777901	10.9218585503031	8.08984879177023	100.777762319974
CD72	CD72	6.99582336883273	2.24244741483305	21.3324383415844	0	13.9895934034139	19.0492387494748	9.18077584102849	0	10.4012341608474	13.9807300328287
