NAME	DESCRIPTION	Breast-60_htsqct	HD-1_htsqct	HD-10_htsqct	HD-11-1_htsqct	HD-13-1_htsqct	HD-14-1_htsqct	HD-15-1_htsqct	HD-16-1_htsqct	HD-17-1_htsqct	HD-18-2_htsqct	HD-2-1_htsqct	HD-3-1_htsqct	HD-4_htsqct	HD-5_htsqct	HD-7_htsqct	HD-8_htsqct	HD-9_htsqct	MGH-BrCa-H-11_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-75_htsqct	MGH-BrCa-H31-TR-489_htsqct	MGH-BrCa-H38-TR467_htsqct	MGH-BrCa-H63-TR-491_htsqct	MGH-BrCa-H76-TR469_htsqct	MGH-BrCa-H81-TR492_htsqct	MGH-BrCa-H83-TR550_htsqct	MGH-BrCa-H84-TR551_htsqct	MGH-BrCa-H89-TR471_htsqct	MGH-BrCa-H92-TR472_htsqct
NLK	NLK	33.7263634247264	11.1872834141961	4.05582028935001	127.705095607509	52.0887886871187	40.5495118899596	69.890107117325	17.1348439960935	96.6572478092197	54.0170794847973	78.4042293874095	55.7771168155641	20.2504297450446	23.0818150936343	21.4607898656133	21.6306102766165	37.8288295092807	43.0229850597198	49.3503885686906	44.4204316905373	67.0520723674358	45.623348043517	49.0910057616548	80.9094091981622	122.896666072275	46.2639715450161	120.865471890394	46.1073521013483	54.3934543923608	57.1986983557731	73.3413758490908	57.8373257457831
MROH1	MROH1	6.24562285643082	3.91554919496865	0	0	6.35967768854356	6.03044022978886	3.30561317446807	4.3329490564834	2.92900750937029	13.769059476517	4.90026433671309	6.29741641466046	7.92408120458267	13.3631561068409	5.51848882258626	10.5379896219414	0	6.84456580495542	5.48337650763229	10.9102814678513	20.3785710136325	5.43135095756155	10.8166622864663	5.02542914274299	10.1761570633094	7.87471856085381	8.85652164714094	9.29583711720733	9.84262508052244	9.66738563759546	4.44493186964187	3.92117462683275
TMEM87B	TMEM87B	8.74387199900315	9.50919090206672	19.1202956497929	26.7396951091535	10.9023046089318	6.23838644460917	14.6391440583586	17.7257006856139	4.39351126405544	9.53242579143481	0.980052867342619	12.5948328293209	5.28272080305512	1.21483237334918	7.35798509678169	13.3111447856101	7.44173695264538	15.6447218398981	27.4168825381614	1.55861163826447	18.4064512381196	31.501835553857	19.1371717375943	23.6195169708921	3.91390656281131	31.4988742434152	51.5762142980561	18.5916742344147	25.9016449487433	37.0583116107826	10.0010967066942	40.6821867533898
OSBPL1A	OSBPL1A	2.49824914257233	12.8653759263256	2.89701449239286	0	6.05683589385101	1.03973107410153	1.88892181398176	3.54514013712279	2.92900750937029	4.23663368508214	0	8.99630916380066	1.76090693435171	0	2.45266169892723	6.65557239280507	0	0.977795114993632	0	0	3.94423955102564	0	2.49615283533838	0.502542914274299	4.69668787537358	4.42952919048027	9.37749350873747	11.8986715100254	2.07213159589946	3.6252696140983	0.555616483705234	21.0763136192261
PHF2	PHF2	0	6.71237004851768	25.4937275330572	0	2.11989256284785	5.40660158532795	8.50014816291791	1.96952229840155	10.251526282796	9.53242579143481	0.980052867342619	4.49815458190033	12.3263485404619	30.3708093337294	20.8476244408814	7.21020342553882	1.86043423816134	5.86677068996179	8.22506476144843	0	1.97211977551282	11.9489721066354	4.16025472556397	0.502542914274299	14.0900636261207	3.9373592804269	4.68874675436873	3.71833484688293	1.5540986969246	1.61123093959924	0	5.39161511189504
NLRP1	NLRP1	9.99299657028932	27.4088443647805	24.9143246345786	6.91543839029831	25.4387107541742	31.1919322230458	8.97237861641334	49.8289141495591	32.2190826030732	51.8987626422562	56.8430663058719	46.7808076517634	29.0549644168031	3.64449712004753	17.7817973172224	11.0926206546751	26.0460793342588	3.91118045997453	2.74168825381614	0	4.60161280952991	0	5.82435661578955	6.53305788556589	0	3.9373592804269	1.56291558478958	14.8733393875317	3.62623029282406	8.05615469799621	3.88931538593663	10.293083395436
MYO1G	MYO1G	2.49824914257233	26.8494801940707	24.9143246345786	0	28.7699704957923	31.8157708675068	6.61122634893615	31.5123567744248	33.6835863577584	28.5972773743044	24.5013216835655	5.3977854982804	22.8917901465722	10.9334913601426	38.6294217581039	43.2612205532329	13.0230396671294	60.1343995721084	0	79.4891935514878	55.2193537143589	89.0741557040094	61.5717699383467	37.1881756562981	31.3112525024905	39.373592804269	115.134781412832	66.1863602745162	44.0327964128635	50.3509668624763	15.5572615437465	32.8398374997243
TMEM242	TMEM242	6.24562285643082	20.6964743162629	1.15880579695714	11.0647014244773	9.69093743016161	8.73374102245284	3.77784362796351	7.68113696376603	5.85801501874059	15.887376319058	14.7007930101393	17.9926183276013	31.6963248183307	6.07416186674588	7.35798509678169	17.7481930474802	0	1.95559022998726	2.74168825381614	1.55861163826447	0	2.17254038302462	3.32820378045117	5.52797205701729	0.782781312562263	11.8120778412807	2.60485930798263	2.60283439281805	2.59016449487433	10.0701933724953	6.6673978044628	8.8226429103737
PRKAR1A	PRKAR1A	507.144575942183	19.5777459748432	18.5408927513143	599.337993825853	450.931432297208	274.904895992444	565.259852834041	299.958246046556	137.663352940404	148.282178977875	220.511895152089	338.261224558905	24.6526970809239	58.3119539207604	34.950429209713	22.739872342084	67.5957773198622	414.5851287573	586.721286316655	317.177468386819	421.376258701239	647.417034141337	617.381801273693	478.420854389133	284.932397772664	657.538999831293	284.9716082933	385.963157106448	583.823077144673	756.875733876744	490.053738628016	407.802161190607
XAB2	XAB2	0	1.11872834141961	0.579402898478572	17.0580813627358	9.38809563546907	7.2781175187107	11.3335308838905	23.2403631211383	24.8965638296475	4.23663368508214	10.7805815407688	15.2937255784611	6.16317427023097	3.64449712004753	2.45266169892723	2.21852413093502	4.34101322237647	3.42228290247771	2.74168825381614	6.23444655305786	3.28686629252136	1.08627019151231	11.6487132315791	9.54831537121168	3.13112525024905	0	2.60485930798263	2.60283439281805	3.10819739384919	1.61123093959924	1.6668494511157	3.43102779847866
SPRED2	SPRED2	6.24562285643082	0.559364170709807	0.579402898478572	4.14926303417898	2.72557615223295	1.45562350374214	6.61122634893615	2.56037898792201	5.85801501874059	1.05915842127053	0.980052867342619	9.89594008018073	3.52181386870341	17.0076532268885	7.97115052151349	9.42872755647384	11.1626054289681	4.88897557496816	0	2.3379174573967	14.462211687094	1.08627019151231	3.32820378045117	12.0610299425832	13.3072823135585	3.9373592804269	1.04194372319305	5.5775022703244	3.62623029282406	4.02807734899811	6.6673978044628	2.45073414177047
DERA	DERA	397.221613669	58.7332379245297	26.6525333300143	592.422555435555	344.936804154815	233.523599243203	623.34419861398	168.985013202853	269.468690862067	118.6257431823	242.073058233627	391.339448625329	106.534869528278	112.979410721473	123.246250371093	158.06984432912	191.624726530618	146.669267249045	287.877266650695	468.362797298472	309.622804755513	346.520191092427	245.455028808274	464.349652789452	197.26089076569	500.53679852427	303.205623449178	350.267142576372	349.154173909059	412.072312802506	364.484413310633	327.908228168889
